code,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd,macd_signal,macd_hist
600531,881168,工业金属,11.61,11.66,-1.46,371903,159338.0,,,
600533,881153,房地产,1.99,1.98,-0.5,122222,62950.0,,,
600535,881141,中药,15.95,15.91,-0.44,177790,81466.0,,,
600536,881271,IT服务,31.87,31.74,-1.91,231052,106947.0,,,
600537,881279,光伏设备,2.24,2.24,-4.02,154921,48286.0,,,
600538,881144,医疗器械,4.68,4.68,-4.06,111090,45490.0,,,
600539,881177,互联网电商,14.4,13.68,2.5,370369,159727.0,,,
600540,881101,种植业与林业,3.46,3.47,-1.16,191145,86914.0,,,
600543,881133,饮料制造,3.68,3.69,-0.82,24744,11760.0,,,
600545,881118,专用设备,3.84,3.81,-5.73,782394,322415.0,,,
600546,881105,煤炭开采加工,12.49,12.55,-0.16,197012,97254.0,,,
600547,881169,贵金属,27.33,27.85,1.32,800471,427427.0,,,
600548,881149,公路铁路运输,8.59,8.59,1.51,39953,24204.0,,,
600549,881170,小金属,47.37,47.35,-5.0,512587,200842.0,,,
600550,881278,电网设备,11.85,11.6,-2.03,525423,225189.0,,,
600551,881164,文化传媒,6.8,6.79,1.47,73093,38490.0,,,
600552,881122,光学光电子,15.67,15.68,-5.49,715573,304789.0,,,
600556,881164,文化传媒,4.46,4.43,-0.22,455164,221815.0,,,
600557,881141,中药,12.76,12.74,-0.47,77112,31782.0,,,
600558,881117,通用设备,4.69,4.66,-0.21,136575,58965.0,,,
600559,881273,白酒,12.0,11.96,4.25,337522,200581.0,,,
600560,881118,专用设备,10.56,10.5,-0.38,25676,12736.0,,,
600561,881149,公路铁路运输,5.1,5.11,0.59,53486,30204.0,,,
600562,881276,军工电子,24.84,24.85,-2.05,96978,48631.0,,,
600563,881270,元件,135.7,135.7,-1.55,49544,21955.0,,,
600566,881141,中药,26.92,26.87,0.04,58924,31586.0,,,
600567,881137,造纸,1.33,1.33,0.0,680109,323877.0,,,
600568,881175,医疗服务,2.28,2.3,0.88,79970,40529.0,,,
600569,881112,钢铁,1.76,1.77,4.55,585829,319643.0,,,
600570,881272,软件开发,21.87,21.58,1.74,508826,267440.0,,,
600571,881272,软件开发,10.08,10.05,0.69,144835,75821.0,,,
600572,881141,中药,4.34,4.32,-0.46,434238,210048.0,,,
600573,881133,饮料制造,9.67,9.63,0.31,122778,60343.0,,,
600575,881145,电力,3.43,3.43,3.79,889909,494552.0,,,
600576,881160,旅游及酒店,5.54,5.51,-1.62,102943,44115.0,,,
600577,881278,电网设备,7.54,7.47,0.93,791783,380914.0,,,
600578,881145,电力,5.95,6.01,-3.03,2260039,995522.0,,,
600579,881118,专用设备,7.2,7.2,-2.22,63126,24895.0,,,
600580,881277,电机,29.63,29.24,-2.77,306321,123189.0,,,
600581,881112,钢铁,2.29,2.29,1.31,79185,39223.0,,,
600582,881118,专用设备,4.92,4.89,0.61,191293,97783.0,,,
600583,881107,油气开采及服务,5.55,5.63,1.98,406340,189523.0,,,
600584,881121,半导体,71.68,70.0,-10.0,1597939,740464.0,,,
600585,881115,建筑材料,18.34,18.35,1.64,325953,198074.0,,,
600586,881108,化学原料,4.11,4.13,2.43,235235,144318.0,,,
600587,881144,医疗器械,12.89,12.87,0.85,68210,38031.0,,,
600588,881272,软件开发,9.73,9.76,3.49,909839,508720.0,,,
600589,881271,IT服务,7.12,7.11,-3.65,541165,200022.0,,,
600590,881282,其他电源设备,8.04,7.95,-2.61,249990,104186.0,,,
600592,881117,通用设备,13.44,13.31,-1.71,71402,33146.0,,,
600593,881160,旅游及酒店,37.49,37.49,-1.68,51435,22554.0,,,
600594,881141,中药,3.61,3.59,-2.77,402692,192723.0,,,
600595,881168,工业金属,6.52,6.6,1.69,1084017,528279.0,,,
600596,881263,农化制品,10.25,10.1,0.49,484349,234892.0,,,
600597,881133,饮料制造,7.0,6.97,1.43,172998,105055.0,,,
600598,881101,种植业与林业,12.2,12.19,1.72,233720,123002.0,,,
600600,881133,饮料制造,55.56,55.72,3.4,146202,84249.0,,,
600601,881270,元件,9.59,9.41,-9.49,2140137,841910.0,,,
600602,881272,软件开发,16.94,16.82,-5.43,421180,176063.0,,,
600603,881152,物流,4.46,4.46,-0.45,112153,54063.0,,,
600604,881153,房地产,4.27,4.23,-0.47,114732,53534.0,,,
600605,881158,零售,24.04,24.07,-9.28,66008,34290.0,,,
600606,881153,房地产,1.29,1.28,-0.78,1287726,576058.0,,,
600609,881126,汽车零部件,3.27,3.25,0.31,160988,80267.0,,,
600610,881108,化学原料,6.76,6.73,0.89,204243,107621.0,,,
600611,881149,公路铁路运输,4.03,4.04,0.5,577438,282294.0,,,
600612,881136,服装家纺,35.54,35.55,3.29,32972,19515.0,,,
600613,881140,化学制药,4.88,4.86,-0.41,77217,32903.0,,,
600615,881118,专用设备,8.6,8.66,-0.93,22067,10607.0,,,
600616,881133,饮料制造,4.04,4.03,1.73,105712,54392.0,,,
600617,881146,燃气,3.42,3.32,-5.56,1752226,776815.0,,,
600618,881108,化学原料,10.36,10.4,1.83,117484,71777.0,,,
600619,881131,白色家电,13.42,12.8,6.11,579592,314220.0,,,
600620,881165,综合,4.05,4.08,-0.99,62202,29338.0,,,
600621,881157,证券,13.2,13.15,0.91,112490,60202.0,,,
600622,881153,房地产,2.08,2.07,0.0,294268,153148.0,,,
600623,881108,化学原料,8.11,8.12,0.99,145996,78127.0,,,
600624,881140,化学制药,3.59,3.59,-2.23,36532,13279.0,,,
600626,881126,汽车零部件,3.41,3.42,0.88,125380,62278.0,,,
600628,881158,零售,6.01,6.0,0.67,80011,42339.0,,,
600629,881116,建筑装饰,12.67,12.48,10.02,389600,199151.0,,,
600630,881136,服装家纺,6.38,6.32,-0.63,129598,55482.0,,,
600633,881275,游戏,10.54,10.46,-0.57,247635,120716.0,,,
600635,881146,燃气,4.56,4.56,0.44,402792,213342.0,,,
600637,881164,文化传媒,7.99,7.9,0.25,508893,256749.0,,,
600638,881153,房地产,4.88,4.82,0.41,215043,101472.0,,,
600639,881153,房地产,9.42,9.43,2.44,81303,52175.0,,,
600640,881164,文化传媒,10.5,10.5,1.05,77866,43910.0,,,
600641,881121,半导体,27.55,27.5,-9.98,592159,295724.0,,,
600642,881145,电力,8.64,8.59,-1.04,286297,110402.0,,,
600643,881283,多元金融,3.96,3.93,1.77,185715,106461.0,,,
600644,881145,电力,9.72,9.66,-6.38,539040,208775.0,,,
600645,881144,医疗器械,18.68,18.6,-0.54,79928,40025.0,,,
600648,881153,房地产,8.61,8.6,4.53,74415,42369.0,,,
600649,881153,房地产,3.69,3.67,1.08,244337,149378.0,,,
600650,881149,公路铁路运输,10.15,10.13,1.97,47509,25813.0,,,
600651,881126,汽车零部件,5.38,5.32,-0.19,190204,95327.0,,,
600653,881128,汽车服务及其他,1.67,1.66,-1.2,205365,89973.0,,,
600654,881179,其他社会服务,2.9,2.87,-3.1,939647,382973.0,,,
600655,881158,零售,4.55,4.53,1.98,176961,104097.0,,,
600657,881153,房地产,2.54,2.53,1.18,176749,92335.0,,,
600658,881153,房地产,3.88,3.82,-1.03,124618,54974.0,,,
600660,881126,汽车零部件,59.1,59.0,1.18,184613,102625.0,,,
600661,881178,教育,8.15,8.09,3.56,185976,100392.0,,,
600662,881179,其他社会服务,4.42,4.42,1.81,175043,111214.0,,,
600663,881153,房地产,7.53,7.52,9.96,532229,308076.0,,,
600664,881140,化学制药,5.36,5.36,3.73,4015252,2062650.0,,,
600665,881153,房地产,2.84,2.85,-0.7,125329,51059.0,,,
600666,881271,IT服务,3.28,3.26,-3.66,1039105,403926.0,,,
600667,881116,建筑装饰,17.4,16.85,-10.0,3237655,1402991.0,,,
600668,881115,建筑材料,7.23,7.19,0.0,46037,22810.0,,,
600671,881141,中药,20.66,20.56,-4.26,36584,12836.0,,,
600673,881165,综合,28.02,28.0,-7.99,433333,179113.0,,,
600674,881145,电力,16.21,16.23,0.49,282882,142552.0,,,
600675,881153,房地产,2.22,2.22,1.8,318191,188238.0,,,
600676,881179,其他社会服务,6.74,6.7,-1.34,122751,48282.0,,,
600678,881115,建筑材料,5.42,5.35,-4.43,106396,34669.0,,,
600679,881128,汽车服务及其他,9.34,9.58,0.32,37063,19773.0,,,
