date,code,name,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd
2026-07-30,002047,宝鹰股份,881116,建筑装饰,3.19,3.17,-5.02,26395200.0,81918740.0,-0.3617
2026-07-30,002048,宁波华翔,881126,汽车零部件,18.21,18.11,-2.86,17815311.0,319165740.0,-1.9182
2026-07-30,002049,紫光国微,881121,半导体,64.86,64.12,-0.25,23908445.0,1544530000.0,-4.3986
2026-07-30,002050,三花智控,881131,白色家电,36.02,35.65,-1.55,47521928.0,1695794700.0,-2.4751
2026-07-30,002051,中工国际,881116,建筑装饰,9.03,8.85,-0.66,32171268.0,288071060.0,-0.561
2026-07-30,002052,同洲电子,881282,其他电源设备,8.83,8.83,-4.64,10408100.0,89633845.0,-0.0314
2026-07-30,002053,云南能投,881145,电力,9.55,9.52,-0.42,7787100.0,74325306.0,-0.1661
2026-07-30,002054,德美化工,881109,化学制品,6.9,6.85,-2.17,22707953.0,154375230.0,-0.1568
2026-07-30,002055,ST得润,881124,消费电子,5.3,5.24,-4.34,15069100.0,77910291.0,-0.3424
2026-07-30,002056,横店东磁,881279,光伏设备,20.88,20.65,-3.5,37468836.0,762850930.0,-1.7169
2026-07-30,002057,中钢天源,881179,其他社会服务,7.99,7.91,-0.88,25904260.0,205404150.0,-0.8368
2026-07-30,002058,威尔泰,881281,电池,15.5,15.5,-4.77,2798100.0,42096466.0,-1.6598
2026-07-30,002059,云南旅游,881160,旅游及酒店,4.35,4.33,0.92,13995000.0,61925501.0,-0.0132
2026-07-30,002060,广东建工,881116,建筑装饰,3.29,3.27,0.91,15568000.0,51574362.0,0.0084
2026-07-30,002061,浙江交科,881116,建筑装饰,3.63,3.61,0.28,17068089.0,62132760.0,0.0165
2026-07-30,002062,宏润建设,881116,建筑装饰,7.49,7.46,-1.2,14487500.0,107304866.0,-0.1134
2026-07-30,002063,远光软件,881272,软件开发,5.42,5.4,-0.55,28023049.0,152480680.0,-0.0046
2026-07-30,002064,华峰化学,881264,化学纤维,11.22,11.12,-0.62,60975867.0,686311670.0,0.2041
2026-07-30,002065,东华软件,881271,IT服务,6.92,6.86,-0.58,41535990.0,288021190.0,-0.1017
2026-07-30,002066,瑞泰科技,881115,建筑材料,20.56,20.56,-2.82,3406900.0,68479658.0,-0.4251
2026-07-30,002067,景兴纸业,881137,造纸,4.28,4.26,-2.8,56913164.0,239974610.0,0.0128
2026-07-30,002068,黑猫股份,881266,橡胶制品,7.36,7.3,-0.82,31860910.0,236162240.0,-1.1856
2026-07-30,002069,獐子岛,881102,养殖业,3.11,3.09,0.64,9295701.0,29136667.0,-0.0318
2026-07-30,002072,凯瑞德,881159,贸易,6.69,6.64,-0.3,6375999.0,42465620.0,-0.4057
2026-07-30,002073,软控股份,881118,专用设备,5.65,5.67,3.36,27595221.0,159677070.0,0.0434
2026-07-30,002074,国轩高科,881281,电池,28.29,27.95,1.38,40286851.0,1154177250.0,-0.1992
2026-07-30,002075,沙钢股份,881112,钢铁,3.63,3.63,1.1,35115928.0,129203607.0,-0.0097
2026-07-30,002076,星光股份,881122,光学光电子,1.93,1.93,-1.55,31281304.0,60731706.0,-0.129
2026-07-30,002077,大港股份,881121,半导体,11.61,11.52,-3.1,29409126.0,334473980.0,-1.7285
2026-07-30,002078,太阳纸业,881137,造纸,14.52,14.58,0.96,18669800.0,273621270.0,0.4412
2026-07-30,002079,苏州固锝,881279,光伏设备,9.01,9.0,-3.22,43116077.0,380668280.0,-1.2117
2026-07-30,002080,中材科技,881115,建筑材料,43.62,43.55,-2.96,68750608.0,2930889800.0,-8.1551
2026-07-30,002081,金 螳 螂,881116,建筑装饰,3.73,3.73,-2.14,106464069.0,393765690.0,-0.3169
2026-07-30,002082,ST万邦,881141,中药,10.18,10.16,-8.15,20008604.0,199170950.0,-0.9773
2026-07-30,002083,孚日股份,881135,纺织制造,11.88,11.44,-5.22,116898969.0,1339629260.0,0.3181
2026-07-30,002084,海鸥住工,881139,家居用品,3.44,3.43,-2.03,15188909.0,52105324.0,-0.0537
2026-07-30,002085,万丰奥威,881126,汽车零部件,10.35,10.28,1.93,32998762.0,346724320.0,-0.3832
2026-07-30,002086,东方海洋,881103,农产品加工,1.8,1.8,-1.11,34324600.0,62112817.0,-0.0045
2026-07-30,002088,鲁阳节能,881115,建筑材料,7.21,7.15,-0.28,3661800.0,26433667.0,-0.257
2026-07-30,002090,金智科技,881278,电网设备,9.26,9.29,3.24,21860494.0,211600060.0,-0.111
2026-07-30,002091,江苏国泰,881159,贸易,7.74,7.75,2.71,15982012.0,126166447.0,0.0153
2026-07-30,002092,中泰化学,881108,化学原料,4.44,4.44,0.0,56640200.0,251567000.0,0.036
2026-07-30,002093,国脉科技,881162,通信服务,6.76,6.74,1.04,16394600.0,112221245.0,-0.0308
2026-07-30,002094,青岛金王,881139,家居用品,4.56,4.56,0.44,26324700.0,122097334.0,-0.0709
2026-07-30,002095,生 意 宝,881164,文化传媒,13.6,13.6,1.54,3886932.0,54068645.0,-0.0146
2026-07-30,002096,易普力,881109,化学制品,9.38,9.4,2.03,8488980.0,81171622.0,0.0259
2026-07-30,002097,山河智能,881268,工程机械,7.15,7.14,0.28,17680196.0,127151301.0,-0.1996
2026-07-30,002098,浔兴股份,881135,纺织制造,6.56,6.55,-0.61,2638300.0,17372250.0,-0.1062
2026-07-30,002099,海翔药业,881140,化学制药,5.47,5.41,-0.73,16302223.0,88340456.0,-0.0196
2026-07-30,002100,天康生物,881103,农产品加工,7.03,7.01,2.42,21304034.0,152292310.0,0.1659
2026-07-30,002101,广东鸿图,881126,汽车零部件,8.76,8.75,2.4,6461963.0,57827290.0,-0.0624
2026-07-30,002102,ST能特,881140,化学制药,2.31,2.29,-2.16,12306300.0,28022808.0,-0.0004
2026-07-30,002103,广博股份,881139,家居用品,6.34,6.26,1.26,11795600.0,76068825.0,-0.0298
2026-07-30,002104,恒宝股份,881129,通信设备,10.08,9.99,0.4,38576054.0,393507290.0,-0.2972
2026-07-30,002105,信隆健康,881128,汽车服务及其他,5.25,5.23,-0.38,8056701.0,42176410.0,-0.069
2026-07-30,002106,莱宝高科,881122,光学光电子,9.81,9.68,-0.92,22002903.0,213500570.0,-0.9898
2026-07-30,002107,沃华医药,881141,中药,6.04,6.02,-1.49,10472160.0,63037865.0,-0.0811
2026-07-30,002108,沧州明珠,881265,塑料制品,4.33,4.3,0.0,25111873.0,109254271.0,-0.0598
2026-07-30,002109,ST兴化,881108,化学原料,2.56,2.57,-0.78,6054151.0,15537235.0,-0.0431
2026-07-30,002110,三钢闽光,881112,钢铁,3.1,3.1,3.23,40700753.0,130210468.0,0.0286
2026-07-30,002111,威海广泰,881166,军工装备,9.5,9.43,-0.21,8359080.0,79203928.0,0.0292
2026-07-30,002112,三变科技,881278,电网设备,16.19,16.16,2.41,45142087.0,738076510.0,-0.3391
2026-07-30,002114,罗平锌电,881168,工业金属,6.48,6.48,-1.23,7233500.0,46829468.0,-0.2756
